Region,Year,B_predicted
Rheinfelden,2025,0.635118
Rheinfelden,2026,0.635286
Rheinfelden,2027,0.635389
Rheinfelden,2028,0.635453
Rheinfelden,2029,0.635493
Rheinfelden,2030,0.635517
Rheinfelden,2031,0.635533
Rheinfelden,2032,0.635542
Rheinfelden,2033,0.635548
Rheinfelden,2034,0.635552
Rheinfelden,2035,0.635555
Rheinfelden,2036,0.635556
Rheinfelden,2037,0.635557
Rheinfelden,2038,0.635558
Rheinfelden,2039,0.635558
Rheinfelden,2040,0.635558
Rheinfelden,2041,0.635558
Rheinfelden,2042,0.635559
Rheinfelden,2043,0.635559
Rheinfelden,2044,0.635559
Rheinfelden,2045,0.635559
Rheinfelden,2046,0.635559
Rheinfelden,2047,0.635559
Rheinfelden,2048,0.635559
Rheinfelden,2049,0.635559
Rheinfelden,2050,0.635559
Rheintal,2019,0.389548
Rheintal,2020,0.429266
Rheintal,2021,0.457451
Rheintal,2022,0.476407
Rheintal,2023,0.488716
Rheintal,2024,0.496536
Rheintal,2025,0.501440
Rheintal,2026,0.504495
Rheintal,2027,0.506392
Rheintal,2028,0.507568
Rheintal,2029,0.508298
Rheintal,2030,0.508752
Rheintal,2031,0.509035
Rheintal,2032,0.509211
Rheintal,2033,0.509321
Rheintal,2034,0.509390
Rheintal,2035,0.509433
Rheintal,2036,0.509461
Rheintal,2037,0.509478
Rheintal,2038,0.509489
Rheintal,2039,0.509496
Rheintal,2040,0.509500
Rheintal,2041,0.509503
Rheintal,2042,0.509505
Rheintal,2043,0.509506
Rheintal,2044,0.509506
Rheintal,2045,0.509507
Rheintal,2046,0.509507
Rheintal,2047,0.509507
Rheintal,2048,0.509508
Rheintal,2049,0.509508
Rheintal,2050,0.509508
Riviera,2019,0.406907
Riviera,2020,0.446800
Riviera,2021,0.479307
Riviera,2022,0.504738
Riviera,2023,0.524010
Riviera,2024,0.538272
Riviera,2025,0.548645
Riviera,2026,0.556097
Riviera,2027,0.561404
Riviera,2028,0.565163
Riviera,2029,0.567814
Riviera,2030,0.569681
Riviera,2031,0.570992
Riviera,2032,0.571914
Riviera,2033,0.572561
Riviera,2034,0.573015
Riviera,2035,0.573334
Riviera,2036,0.573559
Riviera,2037,0.573717
Riviera,2038,0.573828
Riviera,2039,0.573906
Riviera,2040,0.573961
Riviera,2041,0.574000
Riviera,2042,0.574028
Riviera,2043,0.574047
Riviera,2044,0.574061
Riviera,2045,0.574071
Riviera,2046,0.574078
Riviera,2047,0.574083
Riviera,2048,0.574086
Riviera,2049,0.574088
Riviera,2050,0.574090
Riviera-Pays-d'Enhaut,2019,0.630326
Riviera-Pays-d'Enhaut,2020,0.636106
Riviera-Pays-d'Enhaut,2021,0.640198
Riviera-Pays-d'Enhaut,2022,0.643084
Riviera-Pays-d'Enhaut,2023,0.645116
Riviera-Pays-d'Enhaut,2024,0.646543
Riviera-Pays-d'Enhaut,2025,0.647546
Riviera-Pays-d'Enhaut,2026,0.648251
Riviera-Pays-d'Enhaut,2027,0.648746
Riviera-Pays-d'Enhaut,2028,0.649094
Riviera-Pays-d'Enhaut,2029,0.649338
Riviera-Pays-d'Enhaut,2030,0.649510
Riviera-Pays-d'Enhaut,2031,0.649632
Riviera-Pays-d'Enhaut,2032,0.649717
Riviera-Pays-d'Enhaut,2033,0.649777
Riviera-Pays-d'Enhaut,2034,0.649820
Riviera-Pays-d'Enhaut,2035,0.649850
Riviera-Pays-d'Enhaut,2036,0.649871
Riviera-Pays-d'Enhaut,2037,0.649886
Riviera-Pays-d'Enhaut,2038,0.649897
Riviera-Pays-d'Enhaut,2039,0.649904
Riviera-Pays-d'Enhaut,2040,0.649910
Riviera-Pays-d'Enhaut,2041,0.649913
Riviera-Pays-d'Enhaut,2042,0.649916
Riviera-Pays-d'Enhaut,2043,0.649918
Riviera-Pays-d'Enhaut,2044,0.649919
Riviera-Pays-d'Enhaut,2045,0.649920
Riviera-Pays-d'Enhaut,2046,0.649921
Riviera-Pays-d'Enhaut,2047,0.649921
Riviera-Pays-d'Enhaut,2048,0.649922
Riviera-Pays-d'Enhaut,2049,0.649922
Riviera-Pays-d'Enhaut,2050,0.649922
Rorschach,2019,0.249335
Rorschach,2020,0.288118
Rorschach,2021,0.316841
Rorschach,2022,0.336455
Rorschach,2023,0.349137
Rorschach,2024,0.357061
Rorschach,2025,0.361913
Rorschach,2026,0.364852
Rorschach,2027,0.366622
Rorschach,2028,0.367687
Rorschach,2029,0.368328
Rorschach,2030,0.368713
Rorschach,2031,0.368946
Rorschach,2032,0.369087
Rorschach,2033,0.369172
Rorschach,2034,0.369224
Rorschach,2035,0.369256
Rorschach,2036,0.369276
Rorschach,2037,0.369287
Rorschach,2038,0.369295
Rorschach,2039,0.369299
Rorschach,2040,0.369302
Rorschach,2041,0.369304
Rorschach,2042,0.369305
Rorschach,2043,0.369306
Rorschach,2044,0.369306
Rorschach,2045,0.369306
Rorschach,2046,0.369306
Rorschach,2047,0.369307
Rorschach,2048,0.369307
Rorschach,2049,0.369307
Rorschach,2050,0.369307
Saint-Maurice,2019,0.221256
Saint-Maurice,2020,0.163878
Saint-Maurice,2021,0.138423
Saint-Maurice,2022,0.124667
Saint-Maurice,2023,0.116437
Saint-Maurice,2024,0.111210
Saint-Maurice,2025,0.107763
Saint-Maurice,2026,0.105431
Saint-Maurice,2027,0.103828
Saint-Maurice,2028,0.102712
Saint-Maurice,2029,0.101929
Saint-Maurice,2030,0.101376
Saint-Maurice,2031,0.100984
Saint-Maurice,2032,0.100705
Saint-Maurice,2033,0.100505
Saint-Maurice,2034,0.100363
Saint-Maurice,2035,0.100261
Saint-Maurice,2036,0.100188
Saint-Maurice,2037,0.100135
Saint-Maurice,2038,0.100097
Saint-Maurice,2039,0.100070
Saint-Maurice,2040,0.100051
Saint-Maurice,2041,0.100037
Saint-Maurice,2042,0.100027
Saint-Maurice,2043,0.100019
Saint-Maurice,2044,0.100014
Saint-Maurice,2045,0.100010
Saint-Maurice,2046,0.100007
Saint-Maurice,2047,0.100005
Saint-Maurice,2048,0.100004
Saint-Maurice,2049,0.100003
Saint-Maurice,2050,0.100002
Sarganserland,2019,0.626184
Sarganserland,2020,0.632970
Sarganserland,2021,0.637916
Sarganserland,2022,0.641503
Sarganserland,2023,0.644098
Sarganserland,2024,0.645971
Sarganserland,2025,0.647321
Sarganserland,2026,0.648294
Sarganserland,2027,0.648994
Sarganserland,2028,0.649498
Sarganserland,2029,0.649862
Sarganserland,2030,0.650123
Sarganserland,2031,0.650312
Sarganserland,2032,0.650448
Sarganserland,2033,0.650546
Sarganserland,2034,0.650617
Sarganserland,2035,0.650668
Sarganserland,2036,0.650705
Sarganserland,2037,0.650731
Sarganserland,2038,0.650751
Sarganserland,2039,0.650765
Sarganserland,2040,0.650775
Sarganserland,2041,0.650782
Sarganserland,2042,0.650788
Sarganserland,2043,0.650791
Sarganserland,2044,0.650794
Sarganserland,2045,0.650796
Sarganserland,2046,0.650798
Sarganserland,2047,0.650799
Sarganserland,2048,0.650800
Sarganserland,2049,0.650800
Sarganserland,2050,0.650801
Schaffhausen,2019,0.609072
Schaffhausen,2020,0.616974
Schaffhausen,2021,0.622126
Schaffhausen,2022,0.625468
Schaffhausen,2023,0.627630
Schaffhausen,2024,0.629027
Schaffhausen,2025,0.629931
Schaffhausen,2026,0.630515
Schaffhausen,2027,0.630893
